index,prob_p1,is_p1,prob_pt
2,0.006536610841719048,FALSE,0.4149085374951508
14,0.01034430302722988,FALSE,0.6219512195121958
18,0.7017543859649125,TRUE,0.7017543859649125
19,0.9411764705882352,TRUE,0.9411764705882352
13,0.013977098702570755,FALSE,0.718844984802432
15,0.511538461538462,TRUE,0.511538461538462
6,0.6694053208137679,TRUE,0.6694053208137679
12,0.4922166254019744,FALSE,0.5297721146777751
14,0.140384557974193,FALSE,1
15,0.0039885086324714875,FALSE,0.7927927927927939
10,3.982812934802495e-4,FALSE,0.24886964055043437
15,4.604017649962054e-8,FALSE,0.048922291548496775
20,1,TRUE,1
4,0.035735244024385965,FALSE,0.8311688311688314
5,0.10885436702629486,FALSE,0.34595564377600535
5,0.8115942028985472,TRUE,0.8115942028985472
20,0.18750000000000006,FALSE,0.9375000000000001
10,0.016986662337250498,FALSE,0.5460840144384461
17,0.21839080459770113,FALSE,0.7471264367816096
13,1.997658130007589e-5,FALSE,0.2617204558236764
20,0,FALSE,1
19,0,FALSE,0.5357142857142858
12,1,TRUE,1
10,0.23087389620323778,FALSE,0.47157221352150824
16,0.022723661210869217,FALSE,0.7076612903225807
19,0.15765765765765757,TRUE,0.15765765765765757
20,0,FALSE,0.25000000000000006
16,0.001557514772791632,FALSE,0.7239795918367329
9,0.1362479032043698,FALSE,1
5,0.7277834525025532,TRUE,0.7277834525025532
15,0.006724427777059371,FALSE,0.6946778711484586
12,0.5945031712473575,FALSE,1
2,0.01652552125425441,FALSE,1
2,1,TRUE,1
12,0.04646608813121302,FALSE,1
19,0,FALSE,0.6545454545454543
15,4.210349037935248e-5,FALSE,1
2,2.082997901938894e-6,FALSE,0.09030377526275984
3,0.09730958679722965,FALSE,0.5786676116229602
20,0,FALSE,0.5
7,0.6341381623071795,FALSE,0.8378378378378332
16,0.043422733077905513,FALSE,1
13,0.00413801099391372,FALSE,0.11664002475119897
8,0.10514003950579695,FALSE,0.3204999456119719
12,6.296619199845019e-4,FALSE,0.2926513713989986
14,8.847834934791442e-8,FALSE,1
17,1.2617659676483218e-6,FALSE,0.45882352941176496
17,0.0012254901960784311,FALSE,0.6140350877192984
18,0.21538461538461529,TRUE,0.21538461538461529
8,5.483793945786524e-4,FALSE,0.17033969660838089
14,0.3910427807486638,FALSE,0.7620967741935476
17,0.03335777126099707,FALSE,0.13709677419354838
14,0.28834533813525465,FALSE,0.32731092436974857
10,0.23087389620323778,FALSE,0.8593750000000006
13,0.23210281179920647,FALSE,0.4414999137484907
20,0.7272727272727271,TRUE,0.7272727272727271
3,6.319207665085987e-5,FALSE,0.6928838951310845
2,0.060120941615766706,FALSE,0.4967983804218198
2,0.13418540518583977,TRUE,0.13418540518583977
14,0,FALSE,0.19543319737980505
16,0.0011883541295305982,FALSE,0.8888888888888885
11,2.0408538116006222e-6,FALSE,0.5427289637815963
7,0.2125053987209812,FALSE,0.720886075949368
15,0,FALSE,0.08159656435518499
15,0.42002941446824116,FALSE,0.7022397891963117
6,0.7249216300940443,TRUE,0.7249216300940443
19,0,FALSE,0.65
3,0.8444444444444489,TRUE,0.8444444444444489
9,0.08384677592957818,FALSE,0.5720851475568431
6,0.11330568325704865,FALSE,0.11677150415667517
7,0.096496880930954,FALSE,1
18,0.5042016806722687,FALSE,0.6946778711484598
8,0.228852777919977,TRUE,0.228852777919977
8,0.00131710932210642,FALSE,1
9,0.3579645056245433,TRUE,0.3579645056245433
16,0.0384615384615384,FALSE,0.07466063348416295
7,0.14545636893570907,FALSE,0.4671030255949304
12,1,TRUE,1
9,4.973476313808484e-20,FALSE,1
9,0.6036488101228344,FALSE,0.8591549295774618
18,0.2569169960474309,TRUE,0.2569169960474309
14,0.6900483237692532,TRUE,0.6900483237692532
3,0.08859021847247749,FALSE,0.30235842771485694
10,0.0177861749705406,FALSE,0.5856040929318306
8,0.16947909910787454,TRUE,0.16947909910787454
2,0.008287488745750925,FALSE,0.7077267637177981
6,0.0437448594320614,FALSE,0.720886075949368
19,0,FALSE,0.5384615384615384
2,0.4967983804218198,TRUE,0.4967983804218198
